Division (Group),Team Name,Discord of 1st Contact,Discord of 2nd Contact,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,School,Updated as of:,10/2/2023
6.3,Axolotls of Athens,lucky0116,,MarMar0116#2919,asmodeus#1656,☆aqua☆#7725,Memory#2736,,,,,University of North Carolina at Greensboro,,
6.3,OnSU Gray,p1harmony,,Bug Guy #3195,Falsetto#1287,Rin#32920,Candace :3#2594,An^_^#3369,,,,The Ohio State University,,
6.3,UNM Splatoon Silver,Hot Dad#7904,,Rayman#3589,WaddleDeMe#5634,BbkickR#1729,{HOT DAD}#1362,pokejo1234#2949,,,,University of New Mexico,,
6.3,,,,,,,,,,,,,,
6.4,VCU Spirality,silvering_hax,,Hax#1596,[vcu]_serv#2508,★☆nebula☆★#1209,JaySea#2311,MusesMyth#3321,,,,Virginia Commonwealth University,,
6.4,[DPU] Anarcho Sillyism,xviking,,ikuru#1300,snoop frog#1521,Zealiant#1332,bus!! #1810,Spartan#1042,,,,DePaul University,,
6.4,Alma College Esports,astraomega,,AdAstra#2740,LENOP#2202,Three#1504,Dolphyn#8751,,,,,Alma College,,
6.4,CSUDH Ivory,ja1en03,,J a L e N#2485,Danny#2527,MISH#1818,Mudkip#4564,Myles#2926,,,,California State University Dominguez Hills,,
6.4,Coastal Booyah Basins,yellowjacket_,,CBB°Yello#3104,CBB°Ender#2730,CBB*Rose#2112,せせちゃ#1046,,,,,Coastal Carolina University,,
6.4,,,,,,,,,,,,,,
